epoch,n,total_reward_mean,validated_bars_mean,observed_stream_lines_mean,countdown_reward_mean,bar_count_reward_mean,bar_meter_consistency_reward_mean,meter_alignment_reward_mean,meter_duration_closeness_reward_mean,root_similarity_reward_mean,bass_pitch_class_reward_mean,cadence_root_reward_mean,cadence_bass_reward_mean,parse_reward_mean,line_closure_reward_mean,bar_token_reward_mean
1,10,1.8050574644535715,5.0,32.0,0.9757575757575757,0.15625,0.15854166666666666,0.11820871790459765,0.3667716261143055,0.14375,0.1,0.025,0.175,1.0,0.909375,0.9875
2,10,1.4511920701497,3.1,32.0,1.0,0.096875,0.09981321839080459,0.03491839368685006,0.31736659769554576,0.10655241935483871,0.10967741935483871,0.05,0.1,1.0,0.9125,0.975
3,10,3.3051024022304065,13.0,32.0,1.0,0.40625,0.4312403993855607,0.26911273105104455,0.47395171126283825,0.13314794215795328,0.1614154616240267,0.08333333333333333,0.2583333333333333,0.8,0.928125,0.971875
4,10,3.4780930095368663,14.3,32.0,1.0,0.446875,0.4646438172043011,0.20733366390482616,0.4339257654776621,0.109375,0.15625,0.05,0.375,0.9,0.946875,0.965625
5,10,2.9755541738137214,11.5,32.0,1.0,0.359375,0.3683467741935484,0.15162273771225218,0.4292724107060433,0.13125,0.178125,0.05,0.3,1.0,0.965625,0.975
6,10,3.730641747443859,15.4,32.0,1.0,0.48125,0.4897177419354839,0.2891788918994949,0.5866767713589837,0.14375,0.2125,0.125,0.375,1.0,0.95,0.971875
7,10,3.14588860102795,11.0,32.0,1.0,0.34375,0.3463709677419355,0.1665399365874399,0.46193653144982666,0.159375,0.225,0.175,0.4,0.9,0.96875,0.971875
8,10,2.8872937531245744,9.6,32.0,1.0,0.3,0.3092741935483871,0.16684931424770966,0.5022506899183897,0.13125,0.19375,0.1,0.4,1.0,0.95625,0.971875
9,10,3.495151594191136,12.6,32.0,1.0,0.39375,0.40656586021505375,0.23071220806514622,0.4602190841897024,0.125,0.23125,0.1,0.275,0.9,0.965625,0.96875
10,10,3.3999346454168027,11.7,32.0,1.0,0.365625,0.37429435483870965,0.18469631507534098,0.44813321214706264,0.140625,0.2125,0.1,0.425,1.0,0.959375,0.971875
